I_D,FLAG_TSUNAMI,YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,FOCAL_DEPTH,EQ_PRIMARY,EQ_MAG_MW,EQ_MAG_MS,EQ_MAG_MB,EQ_MAG_ML,EQ_MAG_MFA,EQ_MAG_UNK,INTENSITY,COUNTRY,STATE,LOCATION_NAME,LATITUDE,LONGITUDE
6252,Tsu,1908,9,21,6,31,,33,6.8,,6.8,,,,,,USA,HI,HAWAII,19,-155
2838,,1908,10,23,20,14,6,220,7,,7,,,,7.6,,AFGHANISTAN,,AFGHANISTAN:  HINDU KUSH,36.5,70.5
2840,,1908,11,6,7,9,30,40,7.6,,7.6,,,,,,RUSSIA,,RUSSIA:  KURIL ISLANDS,45,150
2844,Tsu,1908,12,12,12,8,,33,8.2,,8.2,,,,,,PERU,,PERU:  OFF COAST,-14,-78
2842,,1908,12,12,,,,,7.5,,7.5,,,,,,MYANMAR (BURMA),,MYANMAR (BURMA):  KACHIN,26.5,97
2846,Tsu,1908,12,28,4,20,27,40,7,7,7.2,,,,,11,ITALY,,"ITALY:  MESSINA, SICILY, CALABRIA",38.17,15.58
2849,,1909,1,19,4,56,    ,,5.8,,,,,,5.8,9,TURKEY,,"TURKEY:  FOCA,MENEMEN,GUZELHISAR",38.6,26.9
2850,,1909,1,23,2,48,18,33,7.7,,7.7,,,,,,IRAN,,IRAN:  SILAKOR,33,50
2854,,1909,2,9,11,24,    ,,6.3,,,,,,6.3,9,TURKEY,,"TURKEY:  ZARA,IPSALA,KOYULHISAR,ENDERS",40.2,37.8
2856,,1909,2,22,9,21,42,550,7.8,,7.8,,,,,,FIJI,,FIJI ISLANDS,-18,-179
6253,Tsu,1909,3,12,23,19,,,6.7,,6.7,,,,,,JAPAN,,JAPAN:  CHOSHI,34.5,141.5
2857,Tsu,1909,3,13,14,29,,80,7.5,,7.5,,,,,,JAPAN,,JAPAN:  YOKOHAMA,34.5,141.5
2860,,1909,4,10,19,36,,,7.8,,7.8,,,,,,USA,AK,ALASKA:  ALEUTIAN ISLANDS,52,175
2861,,1909,4,14,19,53,42,,7.3,,7.3,,,,,,TAIWAN,,TAIWAN:  TAIPEI,25,121.5
2864,,1909,4,23,17,39,36,,6.6,,6.6,,,,,10,PORTUGAL,,"PORTUGAL:  RIBATEJO, BENAVENTE",38.9,-8.8
2866,,1909,5,11,15,54,24,,6.5,,6.5,,,,,8,CHINA,,CHINA:  YUNNAN PROVINCE,24.4,103
2868,Tsu,1909,6,3,18,40,48,40,7.6,,7.6,,,,,,INDONESIA,,"INDONESIA:  SW SUMATRA:  KERINTJI, REDJANGLEBONG",-2,101
2871,Tsu,1909,6,8,5,46,30,,7.6,,7.6,,,,,,CHILE,,CHILE,-26.5,-70.5
2867,,1909,6,11,21,6,,,6.2,,6.2,,,,,10,FRANCE,,"FRANCE:  VERNEGUES,CHARLEVAL,LA ROQUE D'ANTHERON",43.7,5.4
2876,,1909,7,7,21,37,50,230,8.1,,8.1,,,,,7,AFGHANISTAN,,AFGHANISTAN:  HINDU-KUSH,36.5,70.5
2881,,1909,7,15,0,28,    ,4,5.7,,,,,,5.7,10,GREECE,,GREECE:  CHAVARI (ELIS),37.9,21.5
2884,Tsu,1909,7,30,10,51,54,,7.8,,7.8,,,,,,MEXICO,,MEXICO:  ACAPULCO,16.8,-99.8
2886,Tsu,1909,8,14,6,30,,33,6.9,,6.9,,,,,,JAPAN,,JAPAN:  OOMI,35.4,136.3
2889,,1909,10,20,23,41,    ,60,7.2,,,,,,7.2,,PAKISTAN,,PAKISTAN,30,68
2891,,1909,10,29,17,38,    ,,5.8,,,,,,5.8,8,TURKEY,,TURKEY:  KOGLACIK,40.3,29.6
2893,,1909,11,10,6,13,    ,190,7.9,,,,,,7.9,,JAPAN,,JAPAN:  KYUSHU,32,131
7993,,1909,11,21,7,36,,,7.3,,7.3,,,,,,TAIWAN,,TAIWAN,24.4,121.8
2895,,1909,12,9,23,23,,,7.7,,,,,,7.7,,SOLOMON ISLANDS,,SOLOMON ISLANDS,-10,165
2894,Tsu,1909,12,9,23,28,,100,8,,,,,,8,8,USA TERRITORY,GU,GUAM,12.5,145
2898,,1910,1,1,11,2,    ,60,7.5,,7.5,,,,,,HONDURAS,,HONDURAS,17,-85
2899,,1910,1,8,14,49,30,,6.8,,6.8,,,,,,CHINA,,CHINA:  YELLOW SEA,35,122
2900,,1910,2,12,18,10,    ,350,7.4,,7.4,,,,7.6,,JAPAN,,JAPAN:  HONSHU:  S OF,33,138.5
7464,Tsu,1910,2,25,,,,,6,,6,,,,,,PAPUA NEW GUINEA,,PAPUA NEW GUINEA:  MATUPI HARBOR,-4.25,152.25
2901,,1910,4,12,0,22,13,200,7.8,,7.8,,,,,,TAIWAN,,TAIWAN,25.5,122.5
2905,,1910,5,22,6,25,    ,60,7.5,,,,,,7.5,,JAPAN,,JAPAN:  HOKKAIDO,42,145
2906,,1910,6,1,5,55,    ,80,7.5,,,,,,7.5,,VANUATU,,VANUATU ISLANDS,-20,169
2908,,1910,6,7,2,5,    ,33,5.9,,,,,,5.9,10,ITALY,,ITALY:  CALITRI,40.9,15.4
2909,,1910,6,16,6,30,42,100,7.9,7.9,8.1,7.9,,,,,VANUATU,,VANUATU ISLANDS,-19,169.5
2910,,1910,6,24,13,27,,33,6.4,,6.4,,,,,11,ALGERIA,,"ALGERIA:  MASQUERAY,  KABYLIA",36,4
2911,,1910,6,25,19,26,    ,,6.1,,,,,,6.1,7,TURKEY,,"TURKEY:  HACIHAMZA,OSMANCIK,ISKILIP",40.9,34.6
2912,,1910,9,24,3,,    ,,6.9,,,,,,6.9,9,MEXICO,,MEXICO:  OAXACA,16.8,-95.9
9272,,1910,11,9,6,2,,70,7.9,,7.9,,,,,,VANUATU,,VANUATU ISLANDS:  ESPIRITU SANTO,-16,166
2914,Tsu,1910,11,10,12,19,54,90,7.2,,7.2,,,,,,VANUATU,,VANUATU ISLANDS:  ESPIRITU SANTO,-14,166.5
2915,,1910,11,26,4,39,    ,33,8,,8,,,,,,SOLOMON ISLANDS,,SOLOMON ISLANDS,-8,167
2916,,1910,12,13,11,37,24,,7.3,,7.3,,,,,,ZAMBIA,,ZAMBIA,-8,31
