YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,COUNTRY,STATE,LOCATION_NAME,LATITUDE,LONGITUDE,MAXIMUM_WATER_HEIGHT,ABE,IIDA,SOLOVIEV
1950,12,14,14,15,49,MEXICO,,S. MEXICO,16.48,-98.22,0.3,,-1.5,
1951,2,22,1,45,42,PAPUA NEW GUINEA,,BISMARCK SEA,-3.7,142.2,6,,,
1951,8,21,10,57,0,USA,HI,HAWAII,19.5,-156,3.6,,1.8,0.5
1951,10,22,5,43,1,TAIWAN,,TAIWAN,23.8,121.7,0.3,,,
1951,12,21,8,37,29,CHINA,,CHINA: GANSU AND SHANXI PROVINCES,26.7,100,2,,,
1952,1,9,8,,,NORWAY,,MID-NORWAY,64.883,12.417,2,,,2
1952,3,4,1,22,41,JAPAN,,SE. HOKKAIDO ISLAND,42.15,143.85,6.54,,2.7,2
1952,3,9,17,4,0,JAPAN,,SE. HOKKAIDO ISLAND,41.7,143.6,0.3,,-1.7,-2
1952,3,17,3,58,0,USA,HI,HAWAII,19.1,-155,1,,,0
1952,3,19,10,57,12,PHILIPPINES,,"E. OF MINDANO, PHILIPPINES",9.5,127.25,0.33,,,
1952,5,6,,,,USA,MI,"LAKE HURON, MI",43.1,-82.4,1.52,,,
1952,5,13,19,32,0,COSTA RICA,,COSTA RICA-PANAMA,10.3,-85.3,0.1,,-3.3,-3
1952,9,16,2,50,,JAPAN,,MYOJINSHO SUBMARINE VOLCANO,32.1,139.85,0.15,,-1,-1
1952,9,23,4,20,0,JAPAN,,MYOJINSHO SUBMARINE VOLCANO,32.1,139.85,0.05,,-1,-1
1952,9,24,3,23,0,JAPAN,,MYOJINSHO SUBMARINE VOLCANO,32.1,139.85,0.15,,-1,
1952,9,26,3,33,0,JAPAN,,MYOJINSHO SUBMARINE VOLCANO,32.1,139.85,0.1,,-1,-1
1952,11,4,16,58,27.9,RUSSIA,,KAMCHATKA,52.755,160.057,18.4,,4.2,4
1953,2,15,,,,PERU,,CENTRAL PERU,-12,-77.5,0.7,,-0.5,
1953,3,11,,,,JAPAN,,MYOJINSHO SUBMARINE VOLCANO,32.1,139.85,6,,-1,-1
1953,3,17,13,4,,RUSSIA,,N. KURIL ISLANDS,50,156.5,3,,0.6,
1953,3,25,,,,JAPAN,,MYOJINSHO SUBMARINE VOLCANO,32.1,139.85,0.05,,-1,-1
1953,5,31,19,58,,DOMINICAN REPUBLIC,,PUERTO PLATA,19.8,-70.7,0.06,,-3.3,
1953,9,14,0,26,36,FIJI,,FIJI ISLANDS,-18.3,178.2,15,,1,1
1953,11,25,17,48,,JAPAN,,"KASHIMA, JAPAN",34,141.7,3,,1.5,1.5
1953,12,12,17,31,25,PERU,,N. PERU,-3.4,-80.6,1,,-1,0.5
1954,6,26,,,,USA,IN,"MICHIGAN CITY, IN (LAKE MICHIGAN)",41.7,-86.883,3,,,
1954,9,9,1,4,37,ALGERIA,,SEA OF ALBORAN,36.283,1.467,0.33,,,
1954,10,,,,,GREENLAND,,APUTITEQ POINT,67.47,-32.283,18.28,,4.2,
1955,4,19,20,24,5,CHILE,,CENTRAL CHILE,-30,-72,1,,,1
1955,9,23,15,6,23,CHINA,,"JINSHA RIVER, YUNNAN PROVINCE",26.6,101.8,1,,,
1956,3,2,22,43,,NEW ZEALAND,,"LAKE TAUPO, NORTH ISLAND",-38.9,175.8,0.9,,,
1956,3,5,23,29,,JAPAN,,NE. HOKKAIDO ISLAND,44.3,144.1,0.4,,-1.3,-2
1956,3,30,6,11,,RUSSIA,,KAMCHATKA,55.978,160.587,0.3,,-0.7,
1956,7,9,3,11,39,GREECE,,CYCLADES,36.9,26,30,,5,5
1956,7,9,3,24,,GREECE,,"AMORGOS ISLAND, AEGEAN ISLANDS",36.8,25.5,10,,,
1956,11,2,16,4,33,GREECE,,NORTH AEGEAN,39.5,23,1.2,,0.3,2
1957,3,9,14,22,31.9,USA,AK,"ANDREANOF ISLANDS, AK",51.292,-175.629,22.8,,3.9,3
1957,6,22,23,50,23,INDONESIA,,NW. IRIAN JAYA,-1.5,137,1.8,,0.8,
1957,7,28,8,40,1,MEXICO,,S. MEXICO,16.5,-99.1,1.3,,1.3,0.5
1957,9,26,,,,INDONESIA,,SOUTH OF JAVA,-8.2,107.3,0.7,,-0.5,
1957,11,,,,,SOLOMON ISLANDS,,"MALAITA ISLAND, SOLOMON ISLANDS",-8.57,160.72,2.7,,1.4,
1958,7,10,6,15,59.9,USA,AK,"SE. ALASKA, AK",58.37,-136.665,524.6,,4.6,5
1958,9,17,12,24,,RUSSIA,,N. KURIL ISLANDS,48.6,156.1,0.23,,-2.3,-1
1958,11,4,22,54,46,PACIFIC OCEAN,,EAST PACIFIC RISE,-50,-115,0.1,,,
1958,11,6,22,58,8.6,RUSSIA,,S. KURIL ISLANDS,44.53,148.54,5,,2,2.5
