time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-03-04T08:09:54.050Z,-4.9069,94.5925,13.3,4.8,mb,,78,6.851,0.73,us,us10004umf,2016-03-04T16:12:27.237Z,"Southwest of Sumatra, Indonesia",earthquake,8.8,4.8,0.124,20,reviewed,us,us
2016-03-04T04:25:15.130Z,-21.0199,-178.9302,612.36,5.3,mb,,31,4.327,0.63,us,us10004ulj,2016-03-04T12:27:42.335Z,"47km SSW of Ndoi Island, Fiji",earthquake,10,7.6,0.028,413,reviewed,us,us
2016-03-04T03:59:41.810Z,3.9866,126.746,42.81,4.8,mb,,96,3.253,1.57,us,us10004uld,2016-03-04T12:02:15.243Z,"211km SE of Sarangani, Philippines",earthquake,8.1,7.6,0.078,50,reviewed,us,us
2016-03-03T22:57:58.390Z,-3.1724,148.812,10,4.9,mb,,42,1.828,0.81,us,us10004uji,2016-03-11T02:05:37.157Z,"213km SE of Lorengau, Papua New Guinea",earthquake,6.5,1.8,0.05,124,reviewed,us,us
2016-03-03T22:23:13.460Z,-3.1154,148.6708,10,4.8,mb,,49,1.683,1.09,us,us10004ujd,2016-03-11T01:54:29.238Z,"197km SE of Lorengau, Papua New Guinea",earthquake,7,1.9,0.075,55,reviewed,us,us
2016-03-03T22:18:05.200Z,-3.1485,148.8522,10,4.8,mb,,79,1.846,0.91,us,us10004uj8,2016-03-11T01:45:44.577Z,"215km SE of Lorengau, Papua New Guinea",earthquake,3.5,1.8,0.065,74,reviewed,us,us
2016-03-03T21:58:00.320Z,-3.0984,148.8382,10,5.1,mb,,39,1.805,0.95,us,us10004uj0,2016-03-11T01:34:50.761Z,"210km SE of Lorengau, Papua New Guinea",earthquake,3.8,1.8,0.051,124,reviewed,us,us
2016-03-03T21:47:50.460Z,-3.3311,148.826,10,5.2,mb,,18,1.939,0.95,us,us10004uik,2016-03-11T01:20:54.843Z,"225km SE of Lorengau, Papua New Guinea",earthquake,6,1.8,0.038,231,reviewed,us,us
2016-03-03T20:26:52.660Z,25.4813,124.8057,101.03,4.8,mb,,79,1.916,0.7,us,us10004uhl,2016-03-04T04:29:21.295Z,"89km NNW of Hirara, Japan",earthquake,7.8,6.2,0.044,160,reviewed,us,us
2016-03-03T19:28:31.890Z,-56.4912,-26.9683,95.43,5.2,mb,,46,5.859,0.83,us,us10004ugf,2016-03-04T03:31:13.066Z,"27km NNE of Visokoi Island, South Georgia and the South Sandwich Islands",earthquake,9.5,4.6,0.051,125,reviewed,us,us
2016-03-03T18:51:01.240Z,-19.147,-69.2666,111.18,4.7,mb,,82,0.523,0.72,us,us10004ug4,2016-03-04T02:53:42.282Z,"109km SSE of Putre, Chile",earthquake,4.7,4.7,0.106,27,reviewed,us,us
2016-03-03T16:23:07.490Z,4,126.0404,101.35,5,mb,,22,3.083,1.12,us,us10004ue3,2016-03-04T17:03:23.623Z,"167km SSE of Sarangani, Philippines",earthquake,6.4,5.5,0.041,189,reviewed,us,us
2016-03-03T15:56:27.750Z,-22.1961,-179.3533,579.98,4.8,mb,,32,5.055,0.78,us,us10004udy,2016-03-04T16:25:26.389Z,"184km SSW of Ndoi Island, Fiji",earthquake,9.6,6.3,0.05,123,reviewed,us,us
2016-03-03T12:52:59.440Z,-4.8365,94.5895,10,4.7,mb,,99,6.789,0.5,us,us10004ucl,2016-03-03T20:55:32.994Z,"Southwest of Sumatra, Indonesia",earthquake,4.5,1.9,0.118,22,reviewed,us,us
